"행정구역별","각세별",2024,2024,2024,2024,2024,2024,2024,2024
"행정구역별","각세별",총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출
"전국","89세",6913,6913,0,2593,1901,1901,2419,2419
"전국","90세",5751,5751,0,2149,1573,1573,2029,2029
"전국","91세",4475,4475,0,1648,1251,1251,1576,1576
"전국","92세",3687,3687,0,1365,1022,1022,1300,1300
"전국","93세",2952,2952,0,1119,791,791,1042,1042
"전국","94세",2270,2270,0,903,588,588,779,779
"전국","95세",1786,1786,0,703,495,495,588,588
"전국","96세",1254,1254,0,499,327,327,428,428
"전국","97세",809,809,0,296,241,241,272,272
"전국","98세",526,526,0,195,129,129,202,202
"전국","99세",337,337,0,125,97,97,115,115
"전국","100세이상",709,709,0,274,202,202,233,233
